Original Occupation,Matched ONET Occupation
executive secretaries and executive administrative assistants,executive secretaries and executive administrative assistants
extruding and drawing machine setters operators and tenders metal and plastic,extruding and drawing machine setters operators and tenders metal and plastic
extruding and forming machine setters operators and tenders synthetic and glass fibers,extruding and forming machine setters operators and tenders synthetic and glass fibers
fabric and apparel patternmakers,fabric and apparel patternmakers
facilities managers,facilities managers
fallers,fallers
family and consumer sciences teachers postsecondary,family and consumer sciences teachers postsecondary
family medicine physicians,family medicine physicians
farm and home management educators,farm and home management educators
farm equipment mechanics and service technicians,farm equipment mechanics and service technicians
farm labor contractors,farm labor contractors
farmworkers and laborers crop nursery and greenhouse,farmworkers and laborers crop nursery and greenhouse
farmworkers farm ranch and aquacultural animals,farmworkers farm ranch and aquacultural animals
fashion designers,fashion designers
fast food and counter workers,fast food and counter workers
fiberglass laminators and fabricators,fiberglass laminators and fabricators
film and video editors,film and video editors
fine artists including painters sculptors and illustrators,fine artists including painters sculptors and illustrators
fire inspectors and investigators,fire inspectors and investigators
first line supervisors of gambling services workers,first line supervisors of gambling services workers
first line supervisors of gaming workers,first line supervisors of gambling services workers
first line supervisors of helpers laborers and material movers hand,first line supervisors of helpers laborers and material movers hand
first line supervisors of personal service workers,first line supervisors of personal service workers
first line supervisors of sales workers,first line supervisors of retail sales workers
first line supervisors of transportation and material moving machine and vehicle operators,first line supervisors of material moving machine and vehicle operators
fishing and hunting workers,fishing and hunting workers
floor layers except carpet wood and hard tiles,floor layers except carpet wood and hard tiles
floor sanders and finishers,floor sanders and finishers
floral designers,floral designers
food science technicians,food science technicians
food scientists and technologists,food scientists and technologists
foreign language and literature teachers postsecondary,foreign language and literature teachers postsecondary
forensic science technicians,forensic science technicians
forest and conservation technicians,forest and conservation technicians
forest conservation and logging workers,forest and conservation workers
forest fire inspectors and prevention specialists,forest fire inspectors and prevention specialists
foresters,foresters
forestry and conservation science teachers postsecondary,forestry and conservation science teachers postsecondary
forging machine setters operators and tenders metal and plastic,forging machine setters operators and tenders metal and plastic
forming machine setters operators and tenders metal and plastic,forging machine setters operators and tenders metal and plastic
foundry mold and coremakers,foundry mold and coremakers
funeral attendants,funeral attendants
gambling and sports book writers and runners,gambling and sports book writers and runners
gambling change persons and booth cashiers,gambling change persons and booth cashiers
gambling dealers,gambling dealers
gambling managers,gambling managers
gambling surveillance officers and gambling investigators,gambling surveillance officers and gambling investigators
gaming and sports book writers and runners,gambling and sports book writers and runners
gaming change persons and booth cashiers,gambling change persons and booth cashiers
gaming dealers,gambling dealers
gaming surveillance officers and gaming investigators,gambling surveillance officers and gambling investigators
gas compressor and gas pumping station operators,gas compressor and gas pumping station operators
gas plant operators,gas plant operators
general internal medicine physicians,general internal medicine physicians
genetic counselors,genetic counselors
geographers,geographers
geography teachers postsecondary,geography teachers postsecondary
geological technicians except hydrologic technicians,geological technicians except hydrologic technicians
geoscientists and hydrologists except geographers,geoscientists except hydrologists and geographers
geoscientists except hydrologists and geographers,geoscientists except hydrologists and geographers
graphic designers,graphic designers
grinding and polishing workers hand,grinding and polishing workers hand
health and safety engineers except mining safety engineers and inspectors,health and safety engineers except mining safety engineers and inspectors
health education specialists,health education specialists
health specialties teachers postsecondary,health specialties teachers postsecondary
health teachers postsecondary,law teachers postsecondary
healthcare social workers,healthcare social workers
hearing aid specialists,hearing aid specialists
heat treating equipment setters operators and tenders metal and plastic,heat treating equipment setters operators and tenders metal and plastic
heavy and tractor trailer truck drivers,heavy and tractor trailer truck drivers
helpers  brickmasons blockmasons stonemasons and tile and marble setters,helpers  brickmasons blockmasons stonemasons and tile and marble setters
helpers  carpenters,helpers  carpenters
helpers  electricians,helpers  electricians
helpers  extraction workers,helpers  extraction workers
helpers  installation maintenance and repair workers,helpers  installation maintenance and repair workers
helpers  painters paperhangers plasterers and stucco masons,helpers  painters paperhangers plasterers and stucco masons
helpers  pipelayers plumbers pipefitters and steamfitters,helpers  pipelayers plumbers pipefitters and steamfitters
helpers  production workers,helpers  production workers
helpers  roofers,helpers  roofers
helpers extraction workers,helpers  extraction workers
helpers installation maintenance and repair workers,helpers  installation maintenance and repair workers
helpers production workers,helpers  production workers
historians,historians
history teachers postsecondary,history teachers postsecondary
hoist and winch operators,hoist and winch operators
home economics teachers postsecondary,economics teachers postsecondary
home health aides,home health aides
human resources specialists,human resources specialists
hydrologists,hydrologists
industrial engineering technologists and technicians,industrial engineering technologists and technicians
industrial engineers,industrial engineers
industrial machinery mechanics,industrial machinery mechanics
industrial organizational psychologists,industrial organizational psychologists
instructional coordinators,instructional coordinators
insulation workers floor ceiling and wall,insulation workers floor ceiling and wall
insulation workers mechanical,insulation workers mechanical
insurance appraisers auto damage,insurance appraisers auto damage
interior designers,interior designers
interpreters and translators,interpreters and translators
janitors and cleaners except maids and housekeeping cleaners,janitors and cleaners except maids and housekeeping cleaners
judges magistrate judges and magistrates,judges magistrate judges and magistrates
kindergarten teachers except special education,kindergarten teachers except special education
labor relations specialists,labor relations specialists
landscape architects,landscape architects
landscaping and groundskeeping workers,landscaping and groundskeeping workers
lathe and turning machine tool setters operators and tenders metal and plastic,lathe and turning machine tool setters operators and tenders metal and plastic
law teachers postsecondary,law teachers postsecondary
layout workers metal and plastic,layout workers metal and plastic
library science teachers postsecondary,library science teachers postsecondary
life sciences teachers postsecondary,library science teachers postsecondary
lifeguards and other recreational and all other protective service workers,lifeguards ski patrol and other recreational protective service workers
lifeguards ski patrol and other recreational protective service workers,lifeguards ski patrol and other recreational protective service workers
light truck drivers,light truck drivers
loading and moving machine operators underground mining,loading and moving machine operators underground mining
loading machine operators underground mining,loading and moving machine operators underground mining
loan officers,loan officers
locker room coatroom and dressing room attendants,locker room coatroom and dressing room attendants
locomotive engineers,locomotive engineers
log graders and scalers,log graders and scalers
logging equipment operators,logging equipment operators
machine tool cutting setters operators and tenders metal and plastic,forging machine setters operators and tenders metal and plastic
magnetic resonance imaging technologists,magnetic resonance imaging technologists
makeup artists theatrical and performance,makeup artists theatrical and performance
manicurists and pedicurists,manicurists and pedicurists
marketing managers,marketing managers
marriage and family therapists,marriage and family therapists
materials scientists,materials scientists
math and computer science teachers postsecondary,computer science teachers postsecondary
mathematical science teachers postsecondary,mathematical science teachers postsecondary
meat poultry and fish cutters and trimmers,meat poultry and fish cutters and trimmers
mechanical door repairers,mechanical door repairers
mechanical drafters,mechanical drafters
mechanical engineering technologists and technicians,mechanical engineering technologists and technicians
medical and clinical laboratory technicians,medical and clinical laboratory technicians
medical and clinical laboratory technologists,medical and clinical laboratory technologists
medical appliance technicians,medical appliance technicians
medical dosimetrists,medical dosimetrists
medical equipment preparers,medical equipment preparers
medical equipment repairers,medical equipment repairers
medical scientists except epidemiologists,medical scientists except epidemiologists
mental health and substance abuse social workers,mental health and substance abuse social workers
mental health counselors,mental health counselors
merchandise displayers and window trimmers,merchandise displayers and window trimmers
metal refining furnace operators and tenders,metal refining furnace operators and tenders
microbiologists,microbiologists
middle school teachers except special and career/technical education,middle school teachers except special and career/technical education
milling and planing machine setters operators and tenders metal and plastic,milling and planing machine setters operators and tenders metal and plastic
mixing and blending machine setters operators and tenders,mixing and blending machine setters operators and tenders
mobile heavy equipment mechanics except engines,mobile heavy equipment mechanics except engines
model makers metal and plastic,model makers metal and plastic
model makers wood,model makers wood
models,models
