Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year
..Machine feeders and offbearers,31690,,20170,,11520,,36.4,,23404,,26441,,20213,,76.4,,2000
"..Packers and packagers, hand",177890,,69910,,107980,,60.7,,19230,,21277,,17956,,84.4,,2000
..Pumping station operators,14830,,14300,,540,,3.6,,36591,,36518,,40625,,111.2,,2000
..Refuse and recyclable material collectors,50590,,47080,,3510,,6.9,,26185,,26510,,21718,,81.9,,2000
..Shuttle car operators,1470,,1320,,150,,10.2,,30497,,31317,,21484,,(X),,2000
"..Tank car, truck, and ship loaders",3610,,3440,,170,,4.7,,31241,,31635,,17955,,(X),,2000
"..Material moving workers, all other",39430,,33400,,6020,,15.3,,30593,,31598,,23627,,74.8,,2000
"Management, Business, Science, and Arts Occupations",44274859,130437.0,22578160,79447.0,21696699,82092.0,49.004558094696584,0.1,65004,161,76692,155,55474,144,72.3,0.3,2016
"Management, Business, and Financial Occupations",19812917,75230.0,11195064,55370.0,8617853,46676.0,43.49613436527292,0.2,70602,135,80473,201,60751,124,75.5,0.2,2016
Management Occupations,13689475,62435.0,8380083,44079.0,5309392,40577.0,38.78448223909244,0.2,73688,473,81829,235,62254,175,76.1,0.3,2016
Chief executives,1068258,17593.0,813898,14815.0,254360,7288.0,23.810727371103233,0.6,130266,1910,141108,1375,103564,4259,73.39342914646937,3.1,2016
General and operations managers,834005,12760.0,588111,9849.0,245894,8348.0,29.483516285873584,0.9,70686,627,76246,776,56906,1111,74.63473493691473,1.6,2016
Legislators,13966,1709.0,7431,1235.0,6535,1456.0,46.792209652012026,8.7,65592,5454,67233,12792,63788,10085,94.8760281409427,23.5,2016
Advertising and promotions managers,42996,3032.0,17752,1984.0,25244,2262.0,58.71243836635966,3.2,67082,3498,79594,6833,61173,3088,76.85629570068096,7.7,2016
Marketing and sales managers,843840,15667.0,464995,10519.0,378845,10042.0,44.89535930982177,0.8,82357,1263,100137,1477,69079,2413,68.98449124699162,2.6,2016
Public relations and fundraising managers,51121,3755.0,16705,1963.0,34416,3046.0,67.32262670918018,3.3,77835,4128,84016,7323,75260,3792,89.57817558560274,9,2016
Administrative services managers,136431,5932.0,82550,4394.0,53881,4158.0,39.493223680835,2.5,64208,1927,69788,3102,60177,1731,86.22829139680174,4.6,2016
