Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year
Exercise physiologists,4777,1096.0,2043,678.0,2734,985.0,57.2,15.9,45873,3996,47076,5654,42457,7677,(X),(X),2019
"Therapists, all other",115580,6038.0,25429,2948.0,90151,5400.0,78.0,2.3,51889,609,53832,4399,51628,697,95.9,7.9,2019
Veterinarians,71009,4141.0,25506,2589.0,45503,3342.0,64.1,2.9,101187,939,121405,1759,95460,3891,78.6,3.4,2019
Registered nurses,2523490,27729.0,336793,11055.0,2186697,25266.0,86.7,0.3,69754,570,73603,2017,68509,580,93.1,2.7,2019
Nurse anesthetists,33499,3085.0,14105,1859.0,19394,2371.0,57.9,4.7,178784,5081,182499,7714,171149,5826,93.8,5.1,2019
Nurse midwives,4769,872.0,0,203.0,4769,872.0,100.0,3.5,106529,10436,-,**,106529,10436,-,**,2019
Nurse practitioners,164509,6566.0,19911,2375.0,144598,6040.0,87.9,1.1,104948,2262,113546,4124,103312,2778,91,4.1,2019
Acupuncturists,10792,1842.0,4645,1261.0,6147,1199.0,57.0,5.4,55795,7391,56868,8459,51463,19408,(X),(X),2019
"Healthcare diagnosing or treating practitioners, all other",4567,1331.0,1445,860.0,3122,1069.0,68.4,12.3,37946,17450,15044,22409,49186,14319,(X),(X),2019
Clinical laboratory technologists and technicians,262812,9563.0,76287,5307.0,186525,8041.0,71.0,1.6,47169,854,48452,2876,46840,1007,96.7,6.1,2019
Dental hygienists,90783,5523.0,6467,1245.0,84316,5409.0,92.9,1.9,60521,752,73379,7726,60287,905,(X),(X),2019
Cardiovascular technologists and technicians,37324,3582.0,15708,2196.0,21616,3089.0,57.9,6.1,55066,8059,66510,6949,50686,1991,76.2,8.5,2019
Diagnostic medical sonographers,68729,4945.0,17128,2604.0,51601,4241.0,75.1,3.0,70908,1414,85815,8527,67244,1878,78.4,8.1,2019
Radiologic technologists and technicians,163506,7823.0,57552,4627.0,105954,5751.0,64.8,1.7,57144,859,62255,1492,54238,1367,87.1,3,2019
Magnetic resonance imaging technologists,38270,3704.0,19080,2785.0,19190,2026.0,50.1,2.1,71373,3358,78467,6915,66369,2647,84.6,8.2,2019
Nuclear medicine technologists and medical dosimetrists,20000,2365.0,10510,1750.0,9490,1556.0,47.5,5.4,90989,6754,90113,10385,95376,15113,105.8,20.7,2019
Emergency medical technicians,97157,6150.0,58890,4856.0,38267,3598.0,39.4,2.7,36568,777,37011,1071,35979,1064,97.2,4,2019
Paramedics,93642,5205.0,66054,4324.0,27588,2909.0,29.5,2.6,56107,1688,59454,2982,52038,2159,87.5,5.7,2019
Pharmacy technicians,248368,10164.0,59271,4998.0,189097,9059.0,76.1,1.9,33916,716,36409,1047,32655,796,89.7,3.4,2019
Psychiatric technicians,56330,4870.0,17970,2969.0,38360,3617.0,68.1,2.6,34020,2062,34830,2004,33194,2964,95.3,10.1,2019
Surgical technologists,88156,5585.0,25648,3308.0,62508,4390.0,70.9,2.1,45502,1483,50890,1454,42475,1835,83.5,4.3,2019
Veterinary technologists and technicians,104077,5740.0,13464,2019.0,90613,5380.0,87.1,1.9,31639,463,32454,2089,31523,486,97.1,6.4,2019
Dietetic technicians and ophthalmic medical technicians,37474,3980.0,6222,1569.0,31252,3550.0,83.4,3.4,28985,2624,27235,4345,29511,2589,(X),(X),2019
Licensed practical and licensed vocational nurses,518946,13407.0,62232,4696.0,456714,13498.0,88.0,1.3,42180,354,47859,1993,41851,373,87.4,3.7,2019
Medical records specialists,160327,7022.0,13845,1925.0,146482,6575.0,91.4,0.9,42724,1089,42418,4140,42756,1108,100.8,10.2,2019
"Opticians, dispensing",52161,3113.0,15736,2071.0,36425,2556.0,69.8,2.6,38783,2594,51825,1881,35033,1643,67.6,4,2019
Miscellaneous health technologists and technicians,114397,5971.0,43689,4045.0,70708,4710.0,61.8,2.6,44690,2192,50444,4184,41498,1013,82.3,7.1,2019
Other healthcare practitioners and technical occupations,72581,4370.0,26338,2843.0,46243,3959.0,63.7,3.9,55473,3625,61136,4930,52462,3132,85.8,8.6,2019
Service Occupations:,15621402,102062.0,7664026,58987.0,7957376,71772.0,50.9,0.3,30856,69,35657,165,27100,85,76,0.4,2019
Healthcare Support Occupations:,3198658,38603.0,490858,13794.0,2707800,33178.0,84.7,0.4,30473,101,32452,503,30163,112,92.9,1.4,2019
Home health aides,279345,10109.0,34885,3593.0,244460,9062.0,87.5,0.7,26250,420,27181,2512,26124,451,96.1,9,2019
Personal care aides,761338,18705.0,140604,6620.0,620734,15369.0,81.5,0.3,26633,296,29454,1276,26202,357,89,4,2019
Nursing assistants,958206,22475.0,106909,6193.0,851297,21350.0,88.8,0.8,29292,389,32262,791,28686,403,88.9,2.5,2019
Orderlies and psychiatric aides,52510,5149.0,27968,3469.0,24542,3508.0,46.7,4.9,31201,723,30443,1465,32105,1179,105.5,6.4,2019
Occupational therapy assistants and aides,32776,3214.0,5811,1606.0,26965,2826.0,82.3,3.0,45061,3455,45234,11059,44978,3438,(X),(X),2019
Physical therapist assistants and aides,74046,4625.0,27032,2830.0,47014,3874.0,63.5,3.4,46938,1189,49756,2747,46197,1021,92.8,5.5,2019
Massage therapists,69997,4484.0,16412,2475.0,53585,4126.0,76.6,3.3,35213,1941,36568,4109,34442,2857,94.2,13.2,2019
Dental assistants,202177,8196.0,13511,2696.0,188666,8135.0,93.3,1.4,34049,962,39742,4248,33630,931,84.6,9.3,2019
Medical assistants,456251,13549.0,44236,4621.0,412015,12435.0,90.3,0.5,32201,226,35855,1788,32009,238,89.3,4.5,2019
Medical transcriptionists,27044,2842.0,4780,1349.0,22264,2554.0,82.3,3.8,30528,1482,23392,1927,31333,1244,(X),(X),2019
Pharmacy aides,24380,3608.0,6098,1716.0,18282,2882.0,75.0,4.1,31593,1516,43444,16018,30116,1860,(X),(X),2019
Veterinary assistants and laboratory animal caretakers,36286,3418.0,5327,1223.0,30959,3050.0,85.3,2.5,29219,1897,33816,4252,28242,1756,(X),(X),2019
Phlebotomists,98408,6424.0,15507,2469.0,82901,6486.0,84.2,3.6,33910,1883,36615,1235,32845,1734,89.7,5.6,2019
Other healthcare support workers,125894,5938.0,41778,4036.0,84116,4216.0,66.8,1.1,35248,1375,40016,1843,32320,999,80.8,4.5,2019
Protective Service Occupations:,2744803,26649.0,2171324,24656.0,573479,14206.0,20.9,0.5,54070,760,57824,1068,42869,1260,74.1,2.6,2019
First-line supervisors of correctional officers,35106,3410.0,25597,2612.0,9509,1857.0,27.1,4.6,60878,3355,63619,4401,54473,4718,85.6,9.5,2019
First-line supervisors of police and detectives,98715,5551.0,84369,4959.0,14346,2159.0,14.5,2.0,89127,4414,91124,2448,78532,7311,86.2,8.4,2019
First-line supervisors of firefighting and prevention workers,48246,3404.0,46141,3316.0,2105,847.0,4.4,1.7,95517,5394,95632,5273,93750,31005,(X),(X),2019
First-line supervisors of security workers,68062,5050.0,51220,4411.0,16842,2019.0,24.7,2.3,55262,2179,56627,2321,50313,5857,88.8,11,2019
"First-line supervisors of protective service workers, all other",2750,893.0,2197,839.0,553,289.0,20.1,8.2,66257,20400,66321,22874,62137,25433,(X),(X),2019
Firefighters,297645,10179.0,287333,10004.0,10312,1410.0,3.5,0.5,71600,729,71743,762,62394,9642,87,13.5,2019
Fire inspectors,24104,3367.0,21121,3119.0,2983,1184.0,12.4,4.6,62126,3467,62575,3478,56508,13935,(X),(X),2019
Bailiffs,19555,2444.0,12403,1911.0,7152,1475.0,36.6,6.0,54655,5599,56076,7073,52627,8161,93.8,18.8,2019
Correctional officers and jailers,353653,10970.0,251850,9967.0,101803,5337.0,28.8,1.2,49724,1267,52138,653,40609,871,77.9,1.9,2019
Detectives and criminal investigators,143440,6025.0,108647,5356.0,34793,3155.0,24.3,1.9,83327,3896,90247,4167,71459,3506,79.2,5.3,2019
Fish and game wardens,5325,1007.0,4455,922.0,870,480.0,16.3,8.5,56638,9578,56199,10190,75170,58299,(X),(X),2019
Parking enforcement workers,7402,1864.0,5031,1444.0,2371,1027.0,32.0,11.3,41407,1356,41286,1049,42164,9887,(X),(X),2019
Police officers,738767,14302.0,629455,12989.0,109312,6303.0,14.8,0.8,67927,1577,70132,990,60644,1067,86.5,2,2019
Animal control workers,8699,1543.0,4805,1343.0,3894,975.0,44.8,7.9,39328,1879,39272,2615,39399,3369,(X),(X),2019
Private detectives and investigators,82764,5383.0,43362,3929.0,39402,3692.0,47.6,3.2,55050,2939,59978,3489,49728,2459,82.9,6.3,2019
Security guards and gambling surveillance officers,715456,14759.0,539391,12779.0,176065,8056.0,24.6,1.0,32297,340,33540,1256,30648,600,91.4,3.9,2019
Crossing guards and flaggers,15518,2863.0,10187,2193.0,5331,1413.0,34.4,6.5,30434,4036,34425,3335,26217,3024,(X),(X),2019
Transportation security screeners,39698,3755.0,21783,2678.0,17915,2868.0,45.1,5.8,44393,1303,44518,1511,44244,2356,99.4,6.3,2019
School bus monitors,11623,1864.0,2779,1001.0,8844,1743.0,76.1,8.7,25058,2770,28750,5545,24061,3004,(X),(X),2019
Other protective service workers,28275,2570.0,19198,2059.0,9077,1753.0,32.1,5.5,35760,3070,39272,3804,30648,2271,78,9.5,2019
Food Preparation and Serving Related Occupations:,3965189,49869.0,2074020,31953.0,1891169,32572.0,47.7,0.5,25694,142,27441,239,23440,264,85.4,1.2,2019
Chefs and head cooks,409007,11958.0,328921,10542.0,80086,5599.0,19.6,1.2,35152,773,36130,675,30819,545,85.3,2.2,2019
First-line supervisors of food preparation and serving workers,385969,11780.0,171062,8615.0,214907,9353.0,55.7,1.7,28989,888,32293,1099,26723,523,82.8,3.2,2019
Cooks,1279709,25808.0,782667,18436.0,497042,16550.0,38.8,1.0,24423,300,25664,311,22228,224,86.6,1.4,2019
Food preparation workers,391401,12286.0,169621,8709.0,221780,9298.0,56.7,1.6,23341,419,24753,686,22324,379,90.2,2.9,2019
Bartenders,241642,9992.0,119247,7250.0,122395,7449.0,50.7,2.3,31583,511,35310,1651,28810,1910,81.6,6.6,2019
Fast food and counter workers,166725,8407.0,59635,4613.0,107090,6767.0,64.2,2.4,21335,350,21341,631,21331,458,100,3.7,2019
Waiters and waitresses,744576,20946.0,262362,11651.0,482214,17073.0,64.8,1.4,25216,326,29504,986,22598,543,76.6,3.2,2019
"Food servers, nonrestaurant",83694,5508.0,28289,3711.0,55405,4584.0,66.2,3.3,25736,477,27271,2462,24949,1340,91.5,9.6,2019
Dining room and cafeteria attendants and bartender helpers,95083,6592.0,54973,4848.0,40110,4077.0,42.2,3.1,23743,1248,25219,1299,21564,1177,85.5,6.4,2019
Dishwashers,111948,6887.0,85298,6128.0,26650,3559.0,23.8,2.8,21512,631,21793,681,20566,1315,94.4,6.7,2019
"Hosts and hostesses, restaurant, lounge, and coffee shop",50082,4447.0,8716,1670.0,41366,4094.0,82.6,3.6,21028,988,25275,4851,20632,1056,81.6,16.2,2019
"Food preparation and serving related workers, all other",5353,1405.0,3229,1124.0,2124,738.0,39.7,9.0,22391,2502,24161,4012,20853,3494,(X),(X),2019
Building and Grounds Cleaning and Maintenance Occupations:,3612735,44682.0,2349404,34667.0,1263331,24195.0,35.0,0.5,29390,237,31831,140,24196,238,76,0.9,2019
First-line supervisors of housekeeping and janitorial workers,206282,9834.0,129321,7337.0,76961,5688.0,37.3,2.1,38904,1975,45410,1966,30410,770,67,3.4,2019
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",133684,7498.0,125323,7156.0,8361,1801.0,6.3,1.3,43509,2390,45082,1611,32086,4937,71.2,11.2,2019
Janitors and building cleaners,1575413,22076.0,1122067,18566.0,453346,12303.0,28.8,0.7,30504,188,32169,224,25051,384,77.9,1.3,2019
Maids and housekeeping cleaners,801736,22508.0,121508,8341.0,680228,19083.0,84.8,3.4,23424,308,27364,724,22613,358,82.6,2.5,2019
Pest control workers,72327,5046.0,69541,5047.0,2786,804.0,3.9,1.1,38938,2411,39248,2398,29690,9409,(X),(X),2019
Landscaping and groundskeeping workers,741974,18875.0,702558,18429.0,39416,3835.0,5.3,0.5,28716,683,28949,682,25953,1268,89.7,4.9,2019
Tree trimmers and pruners,69993,5489.0,68335,5407.0,1658,744.0,2.4,1.0,36220,1578,36270,1559,31606,18418,(X),(X),2019
Other grounds maintenance workers,11326,1864.0,10751,1873.0,575,324.0,5.1,2.7,31328,978,31461,1165,25085,15934,(X),(X),2019
Personal Care and Service Occupations:,2100017,26608.0,578420,16076.0,1521597,21566.0,72.5,0.6,29636,502,33951,1384,27066,226,79.7,3.3,2019
Supervisors of personal care and service workers,98845,6553.0,41519,3933.0,57326,4792.0,58.0,3.0,40670,1018,45823,1537,36307,1229,79.2,3.8,2019
Animal trainers,34038,3288.0,12454,1547.0,21584,2871.0,63.4,5.8,31202,1537,40397,4609,26902,3002,66.6,10.6,2019
Animal caretakers,144411,6329.0,37603,3479.0,106808,5572.0,74.0,2.1,27427,925,31922,909,26313,775,82.4,3.4,2019
Gambling services workers,77663,5604.0,40434,4043.0,37229,3512.0,47.9,2.9,40787,730,40732,925,40835,1140,100.3,3.6,2019
"Ushers, lobby attendants, and ticket takers",10004,1963.0,5627,1648.0,4377,1042.0,43.8,5.9,25298,3947,26875,8049,23675,3167,(X),(X),2019
Other entertainment attendants and related workers,66172,5530.0,40251,4480.0,25921,2941.0,39.2,3.0,26873,843,29897,4260,25633,1183,85.7,12.8,2019
"Embalmers, crematory operators, and funeral attendants",6170,1530.0,4031,1161.0,2139,1020.0,34.7,14.1,35226,5280,35327,5615,34511,12545,(X),(X),2019
"Morticians, undertakers, and funeral arrangers",32854,3350.0,22791,2353.0,10063,1889.0,30.6,4.8,52283,2997,58605,5334,44153,8066,75.3,15.4,2019
Barbers,80456,5327.0,63373,4721.0,17083,2419.0,21.2,2.7,29283,1896,30194,1311,26254,2009,87,7.7,2019
"Hairdressers, hairstylists, and cosmetologists",441881,15090.0,48995,4203.0,392886,13666.0,88.9,0.6,30084,584,36915,3046,29004,1404,78.6,7.5,2019
Manicurists and pedicurists,179563,8785.0,39649,4342.0,139914,6625.0,77.9,5.3,24552,894,25869,917,23945,927,92.6,4.9,2019
Skincare specialists,35774,3765.0,964,680.0,34810,3645.0,97.3,14.4,31776,1571,34152,34282,31698,1457,(X),(X),2019
Other personal appearance workers,12875,2107.0,1584,690.0,11291,2046.0,87.7,6.8,38826,2760,39085,4198,38719,3168,(X),(X),2019
"Baggage porters, bellhops, and concierges",69647,5482.0,50639,4171.0,19008,2953.0,27.3,3.7,35013,2111,36761,2517,31700,1113,86.2,6.6,2019
Tour and travel guides,21911,2161.0,13406,1599.0,8505,1484.0,38.8,5.6,31442,1055,34760,4378,28055,4932,80.7,17.5,2019
Childcare workers,488187,13332.0,25735,3053.0,462452,12975.0,94.7,0.6,23064,479,25474,2635,22945,497,90.1,9.5,2019
Exercise trainers and group fitness instructors,101160,7020.0,56651,6002.0,44509,2899.0,44.0,4.2,36726,1437,37133,3117,36261,1691,97.7,9.4,2019
Recreation workers,103662,6073.0,32662,3241.0,71000,5227.0,68.5,3.1,32488,2081,37503,3780,31516,779,84,8.7,2019
Residential advisors,28752,3850.0,10033,1873.0,18719,3000.0,65.1,5.7,33972,4054,31909,3050,35235,3698,110.4,15.7,2019
"Personal care and service workers, all other",65992,5001.0,30019,2867.0,35973,3837.0,54.5,4.1,29588,1839,28383,2706,30232,1653,106.5,11.7,2019
Sales and Office Occupations:,22067147,76619.0,8914814,56901.0,13152333,59352.0,59.6,0.2,41232,74,50536,139,37229,89,73.7,0.3,2019
Sales and Related Occupations:,9988596,54235.0,5710358,47639.0,4278238,33926.0,42.8,0.3,46454,205,54461,673,36458,214,66.9,0.9,2019
First-Line supervisors of retail sales workers,2586031,28913.0,1435872,18392.0,1150159,21753.0,44.5,0.7,42391,278,50270,310,36432,307,72.5,0.8,2019
First-Line supervisors of non-retail sales workers,993841,17010.0,653443,13121.0,340398,10152.0,34.3,0.8,63470,1807,69054,2273,56968,1204,82.5,3.2,2019
Cashiers,1042620,21447.0,297898,12582.0,744722,16904.0,71.4,0.7,22460,215,24616,680,22032,205,89.5,2.6,2019
Counter and rental clerks,56820,5339.0,35642,4214.0,21178,2555.0,37.3,2.8,34625,2889,38132,4857,28505,2552,74.8,11.6,2019
Parts salespersons,105008,5843.0,92261,5406.0,12747,1934.0,12.1,1.7,40365,728,41053,658,31901,982,77.7,2.7,2019
Retail salespersons,1673056,21881.0,1018068,18828.0,654988,14955.0,39.1,0.7,35903,343,41131,347,29896,650,72.7,1.7,2019
Advertising sales agents,103843,6121.0,48747,3852.0,55096,3945.0,53.1,2.2,67930,4881,75437,6762,61978,2712,82.2,8.2,2019
Insurance sales agents,495351,11953.0,249954,8912.0,245397,8426.0,49.5,1.2,51647,495,66667,2810,45095,1381,67.6,3.5,2019
"Securities, commodities, and financial services sales agents",203862,8285.0,148731,7341.0,55131,4232.0,27.0,1.8,94595,7713,110316,15127,65529,6223,59.4,9.9,2019
