Variable,Coef.,Std. Err.,t,P>|t|,[0.025,0.975]
const,-8744.181,1595.759,-5.48,0.0,-11900.0,-5615.932
Context,269.8562,33.943,7.95,0.0,203.315,336.397
Post,-288.3296,2943.501,-0.098,0.922,-6058.628,5481.969
Context_x_Post,-9.1777,97.849,-0.094,0.925,-200.995,182.64
Job Zone,24851.42,348.967,71.214,0.0,24200.0,25500.0
